,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-2.3208368628292995,0.24124990271141447,-9.62005305181618,6.579721911941494e-22,-2.7936779834174637,-1.8479957422411353
Sin_Hour,-0.15432845129935338,0.035699318410497935,-4.323008342197668,1.5391591135079657e-05,-0.22429782965655704,-0.08435907294214974
Cos_Hour,-0.46733762040205684,0.05896404798791868,-7.925806255666352,2.266707689643631e-15,-0.5829050308410689,-0.35177020996304476
DayOfWeek,0.07117710568263158,0.014280640925998761,4.9841674509895,6.222917113716624e-07,0.04318756379152528,0.09916664757373789
MonthOfYear,0.0081166508507119,0.00713325857042598,1.1378601757635702,0.25517887278728746,-0.005864279039734693,0.022097580741158494
Start_Lat,0.02829276018729743,0.005197989945122525,5.4430194144268444,5.2384935005650886e-08,0.018104887102855953,0.03848063327173891
Start_Lng,0.005528776184651443,0.00150227390853088,3.6802717222574963,0.00023298555261995867,0.002584373429016698,0.008473178940286187
IsNight,0.2931479974503519,0.08113895208741478,3.612913279118146,0.0003027759879029169,0.1341185736156979,0.45217742128500593
Amenity,-1.1693477633077147,0.4763878669087542,-2.4546128155939955,0.014103640260335655,-2.1030508251207336,-0.23564470149469596
Bump,1.2116229409731778,1.8035397245916196,0.6718027468164189,0.501709279837787,-2.3232499639136845,4.74649584586004
Crossing,-0.5224471633723506,0.12364189355155843,-4.225486591682545,2.384250218757435e-05,-0.7647808217137403,-0.280113505030961
Give_Way,0.13809586005885038,0.4623682555630181,0.2986707205724869,0.765191299476098,-0.7681292684392766,1.0443209885569773
Junction,0.2268815065142341,0.08965638471715803,2.5305672008745916,0.011387826813733924,0.05115822148453705,0.40260479154393114
No_Exit,-1.0583486801468023,0.8575687569961906,-1.2341269099563332,0.21715561749103462,-2.7391525581261176,0.6224551978325128
Railway,-1.1104491422051694,0.6015812125616199,-1.8458840120300901,0.0649090485839957,-2.289526652601879,0.06862836819154028
Station,-1.0819394814088896,0.2719473125436219,-3.978489330485074,6.935452296341395e-05,-1.6149464196868464,-0.548932543130933
Stop,-1.2519192775754084,0.2657478907995881,-4.710928368268911,2.465909039015135e-06,-1.7727755725100844,-0.7310629826407326
Traffic_Calming,1.859384080054622,1.2459475455627722,1.4923453934128275,0.13560862241865765,-0.5826282358744894,4.301396395983733
Traffic_Signal,-0.7776222696760985,0.1035637238302465,-7.508635658473575,5.974675248769008e-14,-0.9806034384882342,-0.5746411008639628
Weather_Other,0.2621874862611077,0.055591850147916455,4.71629358554339,2.4017979523990904e-06,0.15322946213724378,0.3711455103849717
Weather_Rain,0.307195378892236,0.1017753904678521,3.0183660065570583,0.0025414176093796767,0.10771927906274478,0.5066714787217272
Weather_Snow,-0.26374170999674773,0.21453333424212234,-1.2293740314458024,0.2189316020670503,-0.6842193185946011,0.1567358986011056
Weather_Unknown,0.22156207735379413,0.1703912899378761,1.3003133988514006,0.19349357761129093,-0.11239871420376513,0.5555228689113534
